,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
13661,4/1/2020,Senegal,190,1,45,144,15,1,5
13662,4/1/2020,Serbia,1060,28,0,1032,160,12,0
13663,4/1/2020,Seychelles,10,0,0,10,0,0,0
13664,4/1/2020,Sierra Leone,2,0,0,2,1,0,0
13665,4/1/2020,Singapore,1000,3,245,752,74,0,5
13666,4/1/2020,Slovakia,400,1,3,396,37,1,0
13667,4/1/2020,Slovenia,841,15,10,816,39,0,0
13668,4/1/2020,Solomon Islands,0,0,0,0,0,0,0
13669,4/1/2020,Somalia,5,0,1,4,0,0,0
13670,4/1/2020,South Africa,1380,5,50,1325,27,0,19
13671,4/1/2020,South Sudan,0,0,0,0,0,0,0
13672,4/1/2020,Spain,104118,9387,22647,72084,8195,923,3388
13673,4/1/2020,Sri Lanka,146,3,21,122,3,1,4
13674,4/1/2020,Sudan,7,2,2,3,0,0,1
13675,4/1/2020,Summer Olympics 2020,0,0,0,0,0,0,0
13676,4/1/2020,Suriname,10,0,0,10,1,0,0
13677,4/1/2020,Sweden,5320,455,0,4865,486,70,0
13678,4/1/2020,Switzerland,17768,488,2967,14313,1163,55,1144
13679,4/1/2020,Syria,10,2,0,8,0,0,0
13680,4/1/2020,Taiwan*,329,5,39,285,7,0,0
13681,4/1/2020,Tajikistan,0,0,0,0,0,0,0
13682,4/1/2020,Tanzania,20,1,1,18,1,0,0
13683,4/1/2020,Thailand,1771,12,416,1343,120,2,74
13684,4/1/2020,Timor-Leste,1,0,0,1,0,0,0
13685,4/1/2020,Togo,36,2,10,24,2,1,0
13686,4/1/2020,Trinidad and Tobago,90,5,1,84,3,2,0
13687,4/1/2020,Tunisia,423,12,5,406,29,2,2
13688,4/1/2020,Turkey,15679,277,333,15069,2148,63,90
13689,4/1/2020,US,224587,6637,8474,209476,32286,1275,1450
13690,4/1/2020,Uganda,44,0,0,44,0,0,0
13691,4/1/2020,Ukraine,794,20,13,761,149,3,3
13692,4/1/2020,United Arab Emirates,814,8,61,745,150,2,0
13693,4/1/2020,United Kingdom,43789,3130,179,40480,4974,673,0
13694,4/1/2020,Uruguay,350,2,62,286,12,1,21
13695,4/1/2020,Uzbekistan,181,2,12,167,9,0,5
13696,4/1/2020,Vanuatu,0,0,0,0,0,0,0
13697,4/1/2020,Venezuela,143,3,41,99,8,0,2
13698,4/1/2020,Vietnam,218,0,63,155,6,0,5
13699,4/1/2020,West Bank and Gaza,134,1,18,115,15,0,0
13700,4/1/2020,Yemen,0,0,0,0,0,0,0
13701,4/1/2020,Zambia,36,0,0,36,1,0,0
13702,4/1/2020,Zimbabwe,8,1,0,7,0,0,0
13703,4/2/2020,Afghanistan,240,4,10,226,43,0,5
13704,4/2/2020,Albania,277,16,76,185,18,1,9
13705,4/2/2020,Algeria,986,86,61,839,139,28,0
13706,4/2/2020,Andorra,428,15,10,403,38,1,0
13707,4/2/2020,Angola,8,2,1,5,0,0,0
13708,4/2/2020,Antigua and Barbuda,9,0,0,9,2,0,0
13709,4/2/2020,Argentina,1133,36,256,841,79,8,8
13710,4/2/2020,Armenia,663,7,33,623,92,3,2
13711,4/2/2020,Australia,5116,24,520,4572,254,4,98
13712,4/2/2020,Austria,11129,158,1749,9222,418,12,313
13713,4/2/2020,Azerbaijan,400,5,26,369,41,0,0
13714,4/2/2020,Bahamas,24,1,1,22,3,0,0
13715,4/2/2020,Bahrain,643,4,381,258,74,0,44
13716,4/2/2020,Bangladesh,56,6,25,25,2,0,0
13717,4/2/2020,Barbados,46,0,0,46,12,0,0
13718,4/2/2020,Belarus,304,4,53,247,141,2,0
13719,4/2/2020,Belgium,15348,1011,2495,11842,1384,183,363
13720,4/2/2020,Belize,3,0,0,3,0,0,0
13721,4/2/2020,Benin,13,0,1,12,0,0,0
13722,4/2/2020,Bhutan,5,0,1,4,1,0,1
13723,4/2/2020,Bolivia,123,8,1,114,8,1,0
13724,4/2/2020,Bosnia and Herzegovina,533,16,20,497,74,3,1
13725,4/2/2020,Botswana,4,1,0,3,0,0,0
13726,4/2/2020,Brazil,8044,324,127,7593,1208,84,0
13727,4/2/2020,Brunei,133,1,56,76,2,0,4
13728,4/2/2020,Bulgaria,457,10,25,422,35,0,5
13729,4/2/2020,Burkina Faso,288,16,50,222,6,0,4
13730,4/2/2020,Burma,20,1,0,19,5,0,0
13731,4/2/2020,Burundi,3,0,0,3,1,0,0
13732,4/2/2020,Cabo Verde,6,1,0,5,0,0,0
13733,4/2/2020,Cambodia,110,0,34,76,1,0,9
13734,4/2/2020,Cameroon,306,7,10,289,73,1,0
13735,4/2/2020,Canada,12206,223,0,11983,1692,49,0
13736,4/2/2020,Central African Republic,3,0,0,3,0,0,0
13737,4/2/2020,Chad,8,0,0,8,1,0,0
13738,4/2/2020,Chile,3510,18,335,3157,373,2,101
13739,4/2/2020,China,82432,3322,75004,4106,71,6,160
13740,4/2/2020,Colombia,1161,19,55,1087,96,2,16
13741,4/2/2020,Comoros,0,0,0,0,0,0,0
13742,4/2/2020,Congo (Brazzaville),22,2,2,18,3,2,2
13743,4/2/2020,Congo (Kinshasa),134,13,3,118,25,4,0
13744,4/2/2020,Costa Rica,396,2,6,388,21,0,2
13745,4/2/2020,Cote d'Ivoire,194,1,15,178,4,0,6
13746,4/2/2020,Croatia,1011,7,88,916,48,1,15
13747,4/2/2020,Cuba,233,6,13,214,21,0,1
13748,4/2/2020,Cyprus,356,10,28,318,36,1,0
13749,4/2/2020,Czechia,3858,44,67,3747,350,5,6
13750,4/2/2020,Denmark,3573,123,1172,2278,283,19,201
13751,4/2/2020,Djibouti,40,0,0,40,7,0,0
13752,4/2/2020,Dominica,12,0,0,12,0,0,0
13753,4/2/2020,Dominican Republic,1380,60,16,1304,96,3,7
13754,4/2/2020,Ecuador,3163,120,65,2978,415,27,7
13755,4/2/2020,Egypt,865,58,201,606,86,6,22
13756,4/2/2020,El Salvador,41,2,0,39,9,1,0
13757,4/2/2020,Equatorial Guinea,15,0,1,14,0,0,0
13758,4/2/2020,Eritrea,22,0,0,22,7,0,0
13759,4/2/2020,Estonia,858,11,45,802,79,6,12
13760,4/2/2020,Eswatini,9,0,0,9,0,0,0
13761,4/2/2020,Ethiopia,29,0,3,26,0,0,1
13762,4/2/2020,Fiji,7,0,0,7,2,0,0
13763,4/2/2020,Finland,1518,19,300,1199,72,2,290
13764,4/2/2020,France,59228,5387,12548,41293,2106,609,1495
13765,4/2/2020,Gabon,21,1,0,20,3,0,0
13766,4/2/2020,Gambia,4,1,2,1,0,0,0
13767,4/2/2020,Georgia,134,0,26,108,17,0,3
13768,4/2/2020,Germany,84794,1107,22440,61247,6922,187,3740
13769,4/2/2020,Ghana,204,5,31,168,9,0,0
13770,4/2/2020,Greece,1544,53,61,1430,129,3,9
13771,4/2/2020,Grenada,10,0,0,10,1,0,0
13772,4/2/2020,Guatemala,47,1,12,34,8,0,0
13773,4/2/2020,Guinea,52,0,0,52,22,0,0
13774,4/2/2020,Guinea-Bissau,9,0,0,9,0,0,0
13775,4/2/2020,Guyana,19,4,0,15,0,2,0
13776,4/2/2020,Haiti,16,0,1,15,1,0,0
13777,4/2/2020,Holy See,7,0,0,7,1,0,0
13778,4/2/2020,Honduras,219,14,3,202,47,4,0
13779,4/2/2020,Hungary,585,21,42,522,60,1,2
13780,4/2/2020,Iceland,1319,4,284,1031,99,2,59
13781,4/2/2020,India,2543,72,191,2280,545,14,43
13782,4/2/2020,Indonesia,1790,170,112,1508,113,13,9
13783,4/2/2020,Iran,50468,3160,16711,30597,2875,124,1238
13784,4/2/2020,Iraq,772,54,202,516,44,2,20
13785,4/2/2020,Ireland,3849,98,5,3746,402,13,0
13786,4/2/2020,Israel,7132,38,597,6497,719,9,102
13787,4/2/2020,Italy,115242,13915,18278,83049,4668,760,1431
13788,4/2/2020,Jamaica,47,3,2,42,3,0,0
13789,4/2/2020,Japan,2818,75,472,2271,283,3,0
13790,4/2/2020,Jordan,299,5,45,249,21,0,9
13791,4/2/2020,Kazakhstan,435,3,27,405,55,0,1
13792,4/2/2020,Kenya,110,3,4,103,29,2,1
13793,4/2/2020,Kiribati,0,0,0,0,0,0,0
13794,4/2/2020,"Korea, South",9976,169,5828,3979,89,4,261
13795,4/2/2020,Kosovo,125,1,10,114,13,0,4
13796,4/2/2020,Kuwait,342,0,81,261,25,0,1
13797,4/2/2020,Kyrgyzstan,116,0,5,111,5,0,2
13798,4/2/2020,Laos,10,0,0,10,0,0,0
13799,4/2/2020,Latvia,458,0,31,427,12,0,30
13800,4/2/2020,Lebanon,494,16,46,432,15,2,3
13801,4/2/2020,Lesotho,0,0,0,0,0,0,0
13802,4/2/2020,Liberia,6,0,0,6,0,0,0
13803,4/2/2020,Libya,11,1,0,10,1,1,0
13804,4/2/2020,Liechtenstein,75,0,50,25,7,0,4
13805,4/2/2020,Lithuania,579,6,0,573,67,0,0
13806,4/2/2020,Luxembourg,2487,30,80,2377,168,1,0
13807,4/2/2020,Madagascar,59,0,0,59,2,0,0
13808,4/2/2020,Malawi,3,0,0,3,3,0,0
13809,4/2/2020,Malaysia,3116,50,767,2299,208,5,122
13810,4/2/2020,Maldives,19,0,13,6,0,0,0
13811,4/2/2020,Mali,36,3,0,33,5,0,0
13812,4/2/2020,Malta,196,0,2,194,8,0,0
13813,4/2/2020,Marshall Islands,0,0,0,0,0,0,0
13814,4/2/2020,Mauritania,6,1,2,3,0,0,0
13815,4/2/2020,Mauritius,169,7,0,162,8,1,0
13816,4/2/2020,Mexico,1510,50,35,1425,132,13,0
13817,4/2/2020,Micronesia,0,0,0,0,0,0,0
13818,4/2/2020,Moldova,505,6,23,476,82,1,0
13819,4/2/2020,Monaco,60,1,2,57,5,0,0
13820,4/2/2020,Mongolia,14,0,2,12,0,0,0
13821,4/2/2020,Montenegro,144,2,0,142,21,0,0
13822,4/2/2020,Morocco,708,44,31,633,54,5,2
